id,artist,title,medium,year
44954,"turner, joseph mallord william",leith and granton harbours,graphite on paper,1822
7840,"keene, charles samuel",drawing for ‘punch’,ink on paper,
81917,"carrington, dora",spanish landscape with mountains,oil paint on canvas,1924
47905,"turner, joseph mallord william",[title not known],chalk and graphite on paper,1826
25030,"davis, john scarlett",[title not known],"graphite, ink and watercolour on paper",
35529,"turner, joseph mallord william",water mill,graphite and watercolour on paper,1808
53563,"turner, joseph mallord william",a sky,graphite on paper,1834
54316,"turner, joseph mallord william","?kilkinnan, loch lochy; and ?invergarry castle, loch oich",graphite on paper,1831
28853,"turner, joseph mallord william",study of mountain peaks above traeth bach; study of the house at tygwyn ferry,graphite on paper,1798
24531,"callcott, sir augustus wall",[title not known],graphite on paper,
34858,"turner, joseph mallord william","diagram of an open cube in perspective, after heinrich lautensack",pen and ink on paper,1809
2593,"constable, john",hampstead heath with a rainbow,oil paint on canvas,1836
37004,"turner, joseph mallord william",hills above ?the river tamar,graphite on paper,1814
25905,british (?) school,[title not known],engraving on paper,1796
98694,"beuys, joseph",stripes from the house of the shaman,print on paper,1980
23700,"stothard, thomas","studies of kneeling and recumbent figures, ?after raphael. verso: sketch","ink, graphite and watercolour on paper. verso: ink on paper",
11172,"paolozzi, sir eduardo",f. top: chimpanzee in a test box designed for space flight. bottom: mobot mark i,etching on paper,1971
38879,"turner, joseph mallord william",castle head and whitbarrow scar from above whitbarrow lodge,graphite on paper,1816
7756,"jonzen, karin",head of a youth,terracotta on wooden base,1947
42417,"turner, joseph mallord william","ruined aqueducts at ponte degli arci, near tivoli",graphite on paper,1819
67802,"kokoschka, oskar",[no title],pastel on paper,1954
21543,"blake, william","the temple of mirth, after thomas stothard",engraving on paper,1784
25616,"cozens, alexander","6. a single or principal object, opposed to the sky; as a tree, a ruin, a rock, etc. or a group of objects",aquatint on paper,
12015,"piper, john",flintham,screenprint on paper,1977
33881,"turner, joseph mallord william","two figures: study for ‘the unpaid bill, or the dentist reproving his son’s prodigality’",graphite on paper,1807
57964,"turner, joseph mallord william",nuremberg: the burg and tiergärtnertor from the north-west (the northern end of the neutorgraben),graphite on paper,1835
83219,"kippenberger, martin",the horse and the depths: artists’ books,screenprint on paper,1989
14286,"tilson, joe",m - memorial issue,screenprint on paper,1969
39917,"turner, joseph mallord william",[inscriptions by turner],graphite on paper,1817
23281,"mulready, william",study of hands,ink on paper,1859
